,Date,Open,High,Low ,Close,Volume ,Market Cap
127,2020-03-09,201.32,207.45,192.27,201.99,23645428606,22224520906
128,2020-03-08,237.78,237.78,200.6,200.69,21381823651,22079071207
129,2020-03-07,243.75,249.98,237.55,237.85,19431652027,26164459704
130,2020-03-06,229.17,243.55,228.74,243.53,19374772256,26785082139
131,2020-03-05,224.64,234.36,224.64,229.27,18201291785,25213804821
132,2020-03-04,224.57,228.04,222.09,224.52,16567075208,24688386921
133,2020-03-03,230.52,232.33,221.73,224.48,19853178572,24681090483
134,2020-03-02,218.71,232.81,217.28,230.57,20305587789,25347534007
135,2020-03-01,219.75,226.68,214.13,218.97,18179807469,24069393932
136,2020-02-29,226.83,232.26,219.85,219.85,18181296376,24162913195
137,2020-02-28,226.99,234.21,216.35,226.76,22563530559,24919509265
138,2020-02-27,225.69,237.23,212.66,226.75,25645522790,24915636231
139,2020-02-26,247.74,249.65,221.27,225.68,26235617201,24794645345
140,2020-02-25,265.28,265.43,246.86,247.82,21878882134,27223398195
141,2020-02-24,273.71,275.54,259.63,265.22,22400845640,29131114037
142,2020-02-23,262.28,273.75,261.96,273.75,19585998814,30065188433
143,2020-02-22,265.55,266.39,258.91,262.33,16906032862,28807130266
144,2020-02-21,257.89,267.0,255.69,265.6,20867593292,29162464509
145,2020-02-20,259.82,263.7,250.95,257.95,23229828870,28318879771
146,2020-02-19,282.04,283.54,259.76,259.76,22679414413,28514562065
147,2020-02-18,266.51,283.2,261.46,281.94,26511477187,30945457816
148,2020-02-17,259.89,266.87,244.34,266.36,26024080089,29231690264
149,2020-02-16,264.9,272.88,242.48,259.89,25152366643,28518254585
150,2020-02-15,284.56,287.12,264.28,264.73,23682452994,29045044403
151,2020-02-14,268.02,285.06,262.76,284.22,23558253463,31179427623
152,2020-02-13,265.05,273.74,258.92,268.1,25801317504,29407537084
153,2020-02-12,235.9,272.4,235.9,265.41,24545049386,29108513969
154,2020-02-11,223.38,236.55,218.62,235.85,16964695963,25863852653
155,2020-02-10,228.55,229.18,218.08,223.52,16210008511,24508831903
156,2020-02-09,222.98,229.86,222.98,228.58,15031356241,25060056859
157,2020-02-08,222.51,226.59,215.39,223.15,16741203125,24461492839
158,2020-02-07,212.32,223.14,212.3,222.73,16673443564,24412375482
159,2020-02-06,204.13,214.6,201.9,212.34,16425589683,23270983772
160,2020-02-05,189.3,206.8,188.75,204.23,14865434435,22379510312
161,2020-02-04,189.86,191.11,185.4,189.25,11714191695,20735478720
162,2020-02-03,188.61,193.44,188.01,189.87,12392875241,20800183238
163,2020-02-02,183.53,193.08,180.17,188.62,14054425389,20660936267
164,2020-02-01,180.11,183.85,179.75,183.67,11569697182,20116913728
165,2020-01-31,184.74,185.41,176.3,180.16,11728616394,19729633078
166,2020-01-30,174.92,186.26,172.37,184.69,12604789338,20223232964
167,2020-01-29,176.35,178.84,175.05,175.05,10725267311,19165292202
168,2020-01-28,170.88,176.37,170.74,176.37,11772875064,19307396128
169,2020-01-27,168.01,172.92,166.9,170.93,11004476145,18709615891
170,2020-01-26,161.18,168.22,160.28,168.08,9261861590,18394952135
171,2020-01-25,163.07,163.23,158.63,161.28,8256956802,17649296256
172,2020-01-24,162.9,164.31,156.75,163.05,10657671162,17840465424
173,2020-01-23,168.3,168.31,160.3,162.93,10396868698,17824835899
174,2020-01-22,169.61,171.01,166.77,168.29,9209827928,18409534609
175,2020-01-21,167.06,169.91,165.82,169.7,9789369362,18560711557
176,2020-01-20,166.9,169.11,162.33,167.12,11144529787,18276600992
177,2020-01-19,175.47,177.25,163.68,166.97,13713374132,18257853532
178,2020-01-18,170.75,178.53,166.79,175.37,14929342256,19173512823
179,2020-01-17,164.49,173.07,162.78,170.78,14997091826,18669811576
180,2020-01-16,166.33,167.06,159.71,164.39,13735193018,17969103321
181,2020-01-15,165.73,170.43,161.11,166.23,15173694057,18167930411
182,2020-01-14,144.25,167.68,144.06,165.96,16712318373,18135588271
183,2020-01-13,146.22,146.79,142.91,144.23,8378529470,15759102081
184,2020-01-12,143.03,146.15,142.71,145.87,8528167453,15937115426
185,2020-01-11,143.41,146.48,142.21,142.93,9332208590,15613213640
186,2020-01-10,138.97,144.17,135.52,143.96,9084816203,15724494553
187,2020-01-09,141.16,141.39,136.24,138.98,7697325348,15178151517
188,2020-01-08,143.49,146.83,138.27,141.26,9387194957,15425115411
189,2020-01-07,144.31,145.0,140.49,143.54,9257954672,15672773110
190,2020-01-06,136.31,144.33,136.08,144.3,9093747121,15753803340
191,2020-01-05,135.07,139.41,135.05,136.28,7526675353,14875569430
192,2020-01-04,134.17,136.05,133.04,135.07,7430904515,14741946278
193,2020-01-03,127.41,134.55,126.49,134.17,10476845358,14642130120
194,2020-01-02,130.82,130.82,126.95,127.41,8032709256,13902505466
195,2020-01-01,129.63,132.84,129.2,130.8,7935230330,14271059633
